,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
285,368,SAR,99.374,59.0,3.0,28.97,42.582,27.822,MEDIUM,16.0,Williams,15.0,176.3379120879121,298.0,61.0,54.09340659340659,0.37637362637362637,0.22527472527472528,29.5,35.2,173.0,1.5,-2.014289543224563,0.38555439350959186,2
286,369,SAR,99.786,60.0,3.0,28.867,42.683,28.236,MEDIUM,17.0,Williams,15.0,175.0633608815427,300.0,58.0,54.2534435261708,0.3774104683195592,0.22589531680440772,29.5,35.0,168.0,1.7,-1.4929176636974861,1.5433181110313972,2
287,370,SAR,101.938,61.0,3.0,29.041,43.086,29.811,MEDIUM,18.0,Williams,15.0,173.07310704960835,301.0,58.0,51.39947780678851,0.3028720626631854,0.2584856396866841,29.5,34.9,171.0,1.7,1.0822476805572834,2.9675092139630794,1
288,374,MAG,101.539,3.0,1.0,29.207,43.584,28.748,MEDIUM,3.0,Haas F1 Team,8.0,174.41602067183462,311.0,54.0,55.348837209302324,0.35658914728682173,0.23772609819121446,29.9,37.3,168.0,1.0,2.6749374706518236,-0.1388827572635692,1
289,375,MAG,101.004,4.0,1.0,29.34,43.206,28.458,MEDIUM,4.0,Haas F1 Team,8.0,171.92592592592592,299.0,63.0,55.455026455026456,0.328042328042328,0.22486772486772486,29.9,37.2,183.0,1.2,1.5182080166816532,-1.8127039692238616,0
290,376,MAG,101.469,5.0,1.0,29.26,43.569,28.64,MEDIUM,5.0,Haas F1 Team,8.0,171.0051948051948,309.0,61.0,54.71688311688312,0.2961038961038961,0.22597402597402597,29.9,37.0,163.0,1.2,2.2425428942616095,-0.8988756912408677,0
291,377,MAG,102.626,6.0,1.0,29.531,43.645,29.45,MEDIUM,6.0,Haas F1 Team,9.0,171.8241469816273,299.0,59.0,54.93700787401575,0.3648293963254593,0.24934383202099739,30.0,36.7,172.0,1.7,3.042113663852603,0.2278139952042305,1
292,378,MAG,100.834,7.0,1.0,29.249,43.169,28.416,MEDIUM,7.0,Haas F1 Team,9.0,174.40583554376659,310.0,62.0,54.40848806366048,0.3129973474801061,0.23076923076923078,30.0,36.8,163.0,1.2,1.4117003053670643,-1.38316838431673,0
293,379,MAG,100.63,8.0,1.0,29.431,42.799,28.4,MEDIUM,8.0,Haas F1 Team,9.0,174.14473684210526,296.0,63.0,53.834210526315786,0.3368421052631579,0.2394736842105263,30.0,36.5,161.0,1.7,0.8514841452891876,-1.3467445201490007,0
294,380,MAG,100.995,9.0,1.0,29.576,43.013,28.406,MEDIUM,9.0,Haas F1 Team,9.0,172.0877659574468,293.0,64.0,54.57446808510638,0.2978723404255319,0.23404255319148937,30.0,36.3,163.0,1.7,1.0428461808494218,-1.339901377856227,0
295,381,MAG,100.504,10.0,1.0,29.373,42.77,28.361,MEDIUM,10.0,Haas F1 Team,9.0,175.6260162601626,293.0,64.0,54.36585365853659,0.3252032520325203,0.2222222222222222,30.0,36.2,175.0,1.2,0.23613143335961623,-2.0480452502994573,0
296,382,MAG,100.415,11.0,1.0,29.47,42.694,28.251,MEDIUM,11.0,Haas F1 Team,9.0,174.93048128342247,296.0,61.0,54.00267379679144,0.31283422459893045,0.24064171122994651,30.0,36.8,145.0,1.1,1.219875843508955,-1.9727553280101853,0
