,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
556,587,TSU,93.406,18.0,1.0,32.242,35.219,25.945,HARD,18.0,AlphaTauri,9.0,207.64345403899722,338.0,61.0,63.749303621169915,0.48467966573816157,0.15598885793871867,27.2,34.8,137.0,3.0,0.8441858107664417,-0.32663244749622233,0
557,588,TSU,93.905,19.0,1.0,32.607,35.329,25.969,HARD,19.0,AlphaTauri,9.0,206.25745257452576,340.0,60.0,62.040650406504064,0.4878048780487805,0.16531165311653118,27.2,35.0,147.0,4.8,1.788172978715776,0.4111108166595749,2
558,589,TSU,93.384,20.0,1.0,32.094,35.485,25.805,HARD,20.0,AlphaTauri,9.0,205.12464589235128,340.0,60.0,62.13314447592068,0.48441926345609065,0.18696883852691218,27.1,34.4,139.0,3.4,1.7040215306858895,0.3337289256734976,2
559,590,TSU,93.675,21.0,1.0,32.343,35.434,25.898,HARD,21.0,AlphaTauri,8.0,206.82417582417582,342.0,57.0,63.86538461538461,0.5,0.16758241758241757,27.1,34.3,113.0,3.0,1.7019595384643469,0.2729114820448608,2
560,591,TSU,92.977,22.0,1.0,31.808,35.134,26.035,HARD,22.0,AlphaTauri,8.0,210.74358974358975,321.0,63.0,66.54415954415954,0.5185185185185185,0.1737891737891738,27.1,35.0,113.0,5.5,-0.9429554952744986,0.1287184874205845,1
561,592,TSU,93.181,23.0,1.0,31.797,35.329,26.055,HARD,23.0,AlphaTauri,8.0,207.8640226628895,323.0,64.0,66.59773371104816,0.509915014164306,0.16147308781869688,27.2,36.0,136.0,4.1,-0.19612336820301104,-0.4696893391301837,0
562,593,TSU,93.093,24.0,1.0,31.723,35.366,26.004,HARD,24.0,AlphaTauri,8.0,207.25212464589234,321.0,62.0,63.960339943342774,0.509915014164306,0.1501416430594901,27.2,36.6,142.0,5.4,0.08478952684104761,0.15078897962037988,0
563,594,TSU,92.836,25.0,1.0,31.661,35.203,25.972,HARD,25.0,AlphaTauri,8.0,207.88732394366198,323.0,64.0,64.51549295774647,0.5014084507042254,0.16901408450704225,27.4,37.1,141.0,2.4,0.1387301165007477,-1.5808655585931908,0
564,595,TSU,93.718,26.0,1.0,31.778,35.967,25.973,HARD,26.0,AlphaTauri,9.0,206.73816155988857,339.0,61.0,64.27019498607243,0.49303621169916434,0.17270194986072424,27.5,37.2,145.0,3.0,2.0084298306348063,-1.2829322570754618,0
565,596,TSU,93.027,27.0,1.0,31.779,35.254,25.994,HARD,27.0,AlphaTauri,9.0,208.79360465116278,324.0,62.0,63.020348837209305,0.5,0.18023255813953487,27.6,38.0,129.0,3.7,0.8495128934186879,-1.7274685434023447,0
566,597,TSU,92.81,28.0,1.0,31.808,35.271,25.731,HARD,28.0,AlphaTauri,9.0,207.4121037463977,340.0,61.0,64.11239193083574,0.5072046109510087,0.17002881844380405,27.7,38.5,109.0,3.5,1.3441895543651396,-2.6332502061068976,0
567,598,TSU,92.842,29.0,1.0,31.8,35.153,25.889,HARD,29.0,AlphaTauri,9.0,208.57971014492753,339.0,58.0,62.74202898550725,0.4985507246376812,0.19130434782608696,27.5,37.2,152.0,4.4,1.0603498813713743,-1.056824709010937,0
568,599,TSU,92.892,30.0,1.0,31.842,35.245,25.805,HARD,30.0,AlphaTauri,9.0,206.2449567723343,339.0,60.0,62.28530259365994,0.4697406340057637,0.1729106628242075,27.5,36.3,145.0,3.2,1.233453885115364,-0.9433155407174678,0
